FECHA_CORTE;ANIO;COD_DPTO;NOM_DPTO;NOM_MUSEO;COD_MES;NOM_MES;COD_TIPO;NOM_TIPO;ADU_BOLESPPAGANTES;EST_BOLESPPAGANTES;NIN_BOLESPPAGANTES;MIL_BOLESPPAGANTES;ADM_BOLESPPAGANTES;ADU_PAGANTES;EST_PAGANTES;NIN_PAGANTES;TOTAL_PAGANTES;ADU_BOLESPNOPAGANTES;EST_BOLESPNOPAGANTES;NIN_BOLESPNOPAGANTES;MIL_BOLESPNOPAGANTES;ADM_BOLESPNOPAGANTES;ADU_NOPAGANTES;EST_NOPAGANTES;NIN_NOPAGANTES;TOTAL_NOPAGANTES;TOTAL;TIPO_cat_cod
20260505;2012;02;Áncash;Zona Arqueológica Monumental Chavín de Huantar;11;Noviembre;1;Extranjeros;0;0;0;0;0;512;55;6;573;0;0;0;0;0;0;0;0;0;573;Sitio Arqueológico
20260505;2012;02;Áncash;Zona Arqueológica Monumental Chavín de Huantar;12;Diciembre;0;Nacionales;0;0;0;0;0;592;2406;839;3837;0;0;0;0;0;185;49;218;452;4289;Sitio Arqueológico
20260505;2012;02;Áncash;Zona Arqueológica Monumental Chavín de Huantar;12;Diciembre;1;Extranjeros;0;0;0;0;0;150;383;0;533;0;0;0;0;0;0;0;0;0;533;Sitio Arqueológico
20260505;2012;02;Áncash;Sitio Arqueológico Pañamarca;01;Enero;0;Nacionales;0;0;0;0;0;39;0;2;41;0;0;0;0;0;0;0;0;0;41;Sitio Arqueológico
20260505;2012;02;Áncash;Sitio Arqueológico Pañamarca;01;Enero;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20260505;2012;02;Áncash;Sitio Arqueológico Pañamarca;02;Febrero;0;Nacionales;0;0;0;0;0;14;0;0;14;0;0;0;0;0;0;0;0;0;14;Sitio Arqueológico
20260505;2012;02;Áncash;Sitio Arqueológico Pañamarca;02;Febrero;1;Extranjeros;0;0;0;0;0;8;0;0;8;0;0;0;0;0;0;0;0;0;8;Sitio Arqueológico
20260505;2012;02;Áncash;Sitio Arqueológico Pañamarca;03;Marzo;0;Nacionales;0;0;0;0;0;7;1;0;8;0;0;0;0;0;0;0;0;0;8;Sitio Arqueológico
20260505;2012;02;Áncash;Sitio Arqueológico Pañamarca;03;Marzo;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20260505;2012;02;Áncash;Sitio Arqueológico Pañamarca;04;Abril;0;Nacionales;0;0;0;0;0;6;0;0;6;0;0;0;0;0;0;0;0;0;6;Sitio Arqueológico
20260505;2012;02;Áncash;Sitio Arqueológico Pañamarca;04;Abril;1;Extranjeros;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sitio Arqueológico
20260505;2012;02;Áncash;Sitio Arqueológico Pañamarca;05;Mayo;0;Nacionales;0;0;0;0;0;9;5;97;111;0;0;0;0;0;0;0;0;0;111;Sitio Arqueológico
20260505;2012;02;Áncash;Sitio Arqueológico Pañamarca;05;Mayo;1;Extranjeros;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;3;Sitio Arqueológico
20260505;2012;02;Áncash;Sitio Arqueológico Pañamarca;06;Junio;0;Nacionales;0;0;0;0;0;32;12;289;333;0;0;0;0;0;0;0;0;0;333;Sitio Arqueológico
